case_id,resource,role,activity,start_time,end_time,enabled_time,age,priority
176,AML Investigator-000001,AML Investigator,AML check,2023-02-24T08:16:18.459,2023-02-24T09:09:30.652,2023-02-24T08:16:18.459,53,medium
175,Clerk-000006,Clerk,Check application form completeness,2023-02-24T08:56:43.934,2023-02-24T09:19:00.699,2023-02-24T08:56:43.934,56,low
178,Clerk-000008,Clerk,Check application form completeness,2023-02-24T09:00:00.000,2023-02-24T09:23:19.561,2023-02-24T09:00:00.000,30,medium
175,AML Investigator-000002,AML Investigator,AML check,2023-02-24T09:19:00.699,2023-02-24T09:27:38.133,2023-02-24T09:19:00.699,31,low
177,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-24T09:08:49.399,2023-02-24T09:28:49.399,2023-02-24T09:08:49.399,30,low
175,Appraiser-000001,Appraiser,Appraise property,2023-02-24T09:19:00.699,2023-02-24T09:31:40.672,2023-02-24T09:19:00.699,50,low
177,Loan Officer-000003,Loan Officer,Design loan offer,2023-02-24T09:28:49.399,2023-02-24T09:33:28.453,2023-02-24T09:28:49.399,36,low
178,Clerk-000003,Clerk,Check credit history,2023-02-24T09:23:19.561,2023-02-24T09:34:03.173,2023-02-24T09:23:19.561,37,medium
175,Clerk-000002,Clerk,Check credit history,2023-02-24T09:19:00.699,2023-02-24T09:34:04.842,2023-02-24T09:19:00.699,42,low
172,Clerk-000007,Clerk,Approve application,2023-02-24T09:29:38.013,2023-02-24T09:34:38.013,2023-02-24T09:29:38.013,33,high
176,Clerk-000004,Clerk,Check credit history,2023-02-24T08:16:18.459,2023-02-24T09:44:27.855,2023-02-24T08:16:18.459,44,medium
177,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-24T09:33:28.453,2023-02-24T09:53:28.453,2023-02-24T09:33:28.453,43,low
175,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-24T09:34:04.842,2023-02-24T09:54:04.842,2023-02-24T09:34:04.842,56,low
175,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-24T09:54:04.842,2023-02-24T09:54:39.635,2023-02-24T09:54:04.842,41,low
176,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-24T09:44:27.855,2023-02-24T10:04:27.855,2023-02-24T09:44:27.855,50,medium
175,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-24T09:54:39.635,2023-02-24T10:14:39.635,2023-02-24T09:54:39.635,26,low
174,Clerk-000001,Clerk,Check credit history,2023-02-24T07:49:07.488,2023-02-24T10:20:22.315,2023-02-24T07:49:07.488,53,low
180,Clerk-000006,Clerk,Check application form completeness,2023-02-24T10:00:00.000,2023-02-24T10:23:52.230,2023-02-24T10:00:00.000,64,medium
178,AML Investigator-000001,AML Investigator,AML check,2023-02-24T09:23:19.561,2023-02-24T10:27:45.687,2023-02-24T09:23:19.561,26,medium
181,Clerk-000003,Clerk,Check application form completeness,2023-02-24T10:30:00.000,2023-02-24T10:30:58.076,2023-02-24T10:30:00.000,18,medium
181,AML Investigator-000001,AML Investigator,AML check,2023-02-24T10:30:58.076,2023-02-24T10:34:09.900,2023-02-24T10:30:58.076,39,medium
181,Clerk-000002,Clerk,Check credit history,2023-02-24T10:30:58.076,2023-02-24T10:36:30.371,2023-02-24T10:30:58.076,42,medium
180,AML Investigator-000002,AML Investigator,AML check,2023-02-24T10:23:52.230,2023-02-24T10:37:38.277,2023-02-24T10:23:52.230,64,medium
174,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-24T10:20:22.315,2023-02-24T10:40:22.315,2023-02-24T10:20:22.315,20,low
174,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-24T10:40:22.315,2023-02-24T10:42:11.926,2023-02-24T10:40:22.315,49,low
180,Clerk-000008,Clerk,Check credit history,2023-02-24T10:23:52.230,2023-02-24T10:43:41.075,2023-02-24T10:23:52.230,46,medium
179,Clerk-000005,Clerk,Check application form completeness,2023-02-24T09:30:00.000,2023-02-24T10:54:13.105,2023-02-24T09:30:00.000,39,high
177,Clerk-000007,Clerk,Cancel application,2023-02-24T10:53:28.453,2023-02-24T10:58:28.453,2023-02-24T10:53:28.453,23,low
174,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-24T10:42:11.926,2023-02-24T11:02:11.926,2023-02-24T10:42:11.926,21,low
178,Appraiser-000002,Appraiser,Appraise property,2023-02-24T09:23:19.561,2023-02-24T11:02:33.683,2023-02-24T09:23:19.561,58,medium
179,Appraiser-000002,Appraiser,Appraise property,2023-02-24T11:02:33.683,2023-02-24T11:04:12.162,2023-02-24T10:54:13.105,62,high
179,Clerk-000004,Clerk,Check credit history,2023-02-24T10:54:13.105,2023-02-24T11:07:55.933,2023-02-24T10:54:13.105,64,high
181,Appraiser-000002,Appraiser,Appraise property,2023-02-24T11:04:12.162,2023-02-24T11:09:34.691,2023-02-24T10:30:58.076,65,medium
182,Clerk-000001,Clerk,Check application form completeness,2023-02-24T11:00:00.000,2023-02-24T11:10:56.412,2023-02-24T11:00:00.000,39,medium
176,Clerk-000006,Clerk,Reject application,2023-02-24T11:04:27.855,2023-02-24T11:14:27.855,2023-02-24T11:04:27.855,29,medium
180,Appraiser-000001,Appraiser,Appraise property,2023-02-24T10:23:52.230,2023-02-24T11:17:13.807,2023-02-24T10:23:52.230,43,medium
179,AML Investigator-000001,AML Investigator,AML check,2023-02-24T10:54:13.105,2023-02-24T11:17:16.710,2023-02-24T10:54:13.105,27,high
175,Clerk-000002,Clerk,Cancel application,2023-02-24T11:14:39.635,2023-02-24T11:19:39.635,2023-02-24T11:14:39.635,56,low
178,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-24T11:02:33.683,2023-02-24T11:22:33.683,2023-02-24T11:02:33.683,20,medium
182,Appraiser-000002,Appraiser,Appraise property,2023-02-24T11:10:56.412,2023-02-24T11:23:24.212,2023-02-24T11:10:56.412,32,medium
178,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-24T11:22:33.683,2023-02-24T11:25:49.198,2023-02-24T11:22:33.683,61,medium
181,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-24T11:09:34.691,2023-02-24T11:29:34.691,2023-02-24T11:09:34.691,50,medium
180,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-24T11:17:13.807,2023-02-24T11:37:13.807,2023-02-24T11:17:13.807,40,medium
179,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-24T11:17:16.710,2023-02-24T11:37:16.710,2023-02-24T11:17:16.710,59,high
181,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-24T11:29:34.691,2023-02-24T11:37:58.528,2023-02-24T11:29:34.691,43,medium
182,AML Investigator-000002,AML Investigator,AML check,2023-02-24T11:10:56.412,2023-02-24T11:40:54.974,2023-02-24T11:10:56.412,31,medium
179,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-24T11:37:16.710,2023-02-24T11:44:21.956,2023-02-24T11:37:16.710,51,high
178,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-24T11:25:49.198,2023-02-24T11:45:49.198,2023-02-24T11:25:49.198,29,medium
181,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-24T11:37:58.528,2023-02-24T11:57:58.528,2023-02-24T11:37:58.528,56,medium
179,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-24T11:45:49.198,2023-02-24T12:05:49.198,2023-02-24T11:44:21.956,56,high
174,Clerk-000007,Clerk,Cancel application,2023-02-24T12:02:11.926,2023-02-24T12:07:11.926,2023-02-24T12:02:11.926,32,low
183,Clerk-000008,Clerk,Check application form completeness,2023-02-24T11:30:00.000,2023-02-24T12:18:07.234,2023-02-24T11:30:00.000,55,medium
183,Clerk-000004,Clerk,Check credit history,2023-02-24T12:18:07.234,2023-02-24T12:25:27.207,2023-02-24T12:18:07.234,62,medium
183,Appraiser-000001,Appraiser,Appraise property,2023-02-24T12:18:07.234,2023-02-24T12:41:29.428,2023-02-24T12:18:07.234,55,medium
180,Clerk-000006,Clerk,Reject application,2023-02-24T12:37:13.807,2023-02-24T12:47:13.807,2023-02-24T12:37:13.807,38,medium
178,Clerk-000002,Clerk,Approve application,2023-02-24T12:45:49.198,2023-02-24T12:50:49.198,2023-02-24T12:45:49.198,21,medium
183,AML Investigator-000001,AML Investigator,AML check,2023-02-24T12:18:07.234,2023-02-24T12:51:12.886,2023-02-24T12:18:07.234,36,medium
184,Clerk-000005,Clerk,Check application form completeness,2023-02-24T12:00:00.000,2023-02-24T13:00:48.357,2023-02-24T12:00:00.000,62,low
184,Clerk-000004,Clerk,Check credit history,2023-02-24T13:00:48.357,2023-02-24T13:01:09.038,2023-02-24T13:00:48.357,19,low
181,Clerk-000007,Clerk,Approve application,2023-02-24T12:57:58.528,2023-02-24T13:02:58.528,2023-02-24T12:57:58.528,58,medium
186,Clerk-000008,Clerk,Check application form completeness,2023-02-24T13:00:00.000,2023-02-24T13:03:35.259,2023-02-24T13:00:00.000,55,medium
179,Clerk-000002,Clerk,Cancel application,2023-02-24T13:05:49.198,2023-02-24T13:10:49.198,2023-02-24T13:05:49.198,45,high
183,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-24T12:51:12.886,2023-02-24T13:11:12.886,2023-02-24T12:51:12.886,42,medium
184,Appraiser-000002,Appraiser,Appraise property,2023-02-24T13:00:48.357,2023-02-24T13:11:46.410,2023-02-24T13:00:48.357,27,low
186,AML Investigator-000001,AML Investigator,AML check,2023-02-24T13:03:35.259,2023-02-24T13:16:54.266,2023-02-24T13:03:35.259,60,medium
183,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-24T13:11:12.886,2023-02-24T13:21:25.212,2023-02-24T13:11:12.886,48,medium
186,Clerk-000006,Clerk,Check credit history,2023-02-24T13:03:35.259,2023-02-24T13:25:09.981,2023-02-24T13:03:35.259,45,medium
182,Clerk-000003,Clerk,Check credit history,2023-02-24T11:10:56.412,2023-02-24T13:26:07.102,2023-02-24T11:10:56.412,62,medium
183,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-24T13:21:25.212,2023-02-24T13:41:25.212,2023-02-24T13:21:25.212,26,medium
187,Clerk-000005,Clerk,Check application form completeness,2023-02-24T13:30:00.000,2023-02-24T13:43:21.530,2023-02-24T13:30:00.000,62,low
185,Clerk-000001,Clerk,Check application form completeness,2023-02-24T12:30:00.000,2023-02-24T13:45:49.411,2023-02-24T12:30:00.000,18,high
182,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-24T13:26:07.102,2023-02-24T13:46:07.102,2023-02-24T13:26:07.102,50,medium
184,AML Investigator-000002,AML Investigator,AML check,2023-02-24T13:00:48.357,2023-02-24T13:50:17.658,2023-02-24T13:00:48.357,52,low
186,Appraiser-000001,Appraiser,Appraise property,2023-02-24T13:03:35.259,2023-02-24T13:52:53.526,2023-02-24T13:03:35.259,24,medium
184,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-24T13:50:17.658,2023-02-24T14:10:17.658,2023-02-24T13:50:17.658,20,low
185,Appraiser-000001,Appraiser,Appraise property,2023-02-24T13:52:53.526,2023-02-24T14:11:26.429,2023-02-24T13:45:49.411,57,high
186,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-24T13:52:53.526,2023-02-24T14:12:53.526,2023-02-24T13:52:53.526,42,medium
187,Clerk-000004,Clerk,Check credit history,2023-02-24T13:43:21.530,2023-02-24T14:16:20.572,2023-02-24T13:43:21.530,63,low
186,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-24T14:12:53.526,2023-02-24T14:20:56.821,2023-02-24T14:12:53.526,52,medium
187,AML Investigator-000001,AML Investigator,AML check,2023-02-24T13:43:21.530,2023-02-24T14:27:53.042,2023-02-24T13:43:21.530,54,low
188,Clerk-000008,Clerk,Check application form completeness,2023-02-24T14:00:00.000,2023-02-24T14:39:48.007,2023-02-24T14:00:00.000,61,high
186,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-24T14:20:56.821,2023-02-24T14:40:56.821,2023-02-24T14:20:56.821,58,medium
183,Clerk-000003,Clerk,Approve application,2023-02-24T14:41:25.212,2023-02-24T14:46:25.212,2023-02-24T14:41:25.212,22,medium
189,Clerk-000002,Clerk,Check application form completeness,2023-02-24T14:30:00.000,2023-02-24T14:48:37.206,2023-02-24T14:30:00.000,21,medium
185,Clerk-000007,Clerk,Check credit history,2023-02-24T13:45:49.411,2023-02-24T14:50:36.163,2023-02-24T13:45:49.411,47,high
187,Appraiser-000002,Appraiser,Appraise property,2023-02-24T13:43:21.530,2023-02-24T14:53:05.520,2023-02-24T13:43:21.530,65,low
189,Clerk-000001,Clerk,Return application back to applicant,2023-02-24T14:48:37.206,2023-02-24T14:53:37.206,2023-02-24T14:48:37.206,32,medium
182,Clerk-000005,Clerk,Reject application,2023-02-24T14:46:07.102,2023-02-24T14:56:07.102,2023-02-24T14:46:07.102,33,medium
188,AML Investigator-000001,AML Investigator,AML check,2023-02-24T14:39:48.007,2023-02-24T14:56:22.043,2023-02-24T14:39:48.007,43,high
190,Clerk-000004,Clerk,Check application form completeness,2023-02-27T07:00:00.000,2023-02-27T07:02:48.971,2023-02-24T15:00:00.000,58,low
186,Clerk-000003,Clerk,Cancel application,2023-02-27T07:00:00.000,2023-02-27T07:05:00.000,2023-02-24T15:40:56.821,64,medium
184,Clerk-000008,Clerk,Reject application,2023-02-27T07:00:00.000,2023-02-27T07:10:00.000,2023-02-24T15:10:17.658,43,low
187,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-24T14:53:05.520,2023-02-27T07:13:05.520,2023-02-24T14:53:05.520,41,low
190,AML Investigator-000001,AML Investigator,AML check,2023-02-27T07:02:48.971,2023-02-27T07:19:37.440,2023-02-27T07:02:48.971,22,low
187,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-27T07:13:05.520,2023-02-27T07:21:23.435,2023-02-27T07:13:05.520,20,low
185,AML Investigator-000002,AML Investigator,AML check,2023-02-24T13:50:17.658,2023-02-27T07:28:05.196,2023-02-24T13:45:49.411,20,high
190,Appraiser-000002,Appraiser,Appraise property,2023-02-27T07:02:48.971,2023-02-27T07:40:47.270,2023-02-27T07:02:48.971,20,low
187,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-27T07:21:23.435,2023-02-27T07:41:23.435,2023-02-27T07:21:23.435,39,low
185,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-27T07:28:05.196,2023-02-27T07:48:05.196,2023-02-27T07:28:05.196,46,high
188,Clerk-000006,Clerk,Check credit history,2023-02-24T14:39:48.007,2023-02-27T07:49:13.793,2023-02-24T14:39:48.007,23,high
190,Clerk-000002,Clerk,Check credit history,2023-02-27T07:02:48.971,2023-02-27T07:50:54.727,2023-02-27T07:02:48.971,22,low
189,Applicant-000001,Applicant,Applicant completes form,2023-02-24T14:53:37.206,2023-02-27T07:53:37.206,2023-02-24T14:53:37.206,44,medium
185,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-27T07:48:05.196,2023-02-27T07:55:04.682,2023-02-27T07:48:05.196,56,high
189,Clerk-000001,Clerk,Check application form completeness,2023-02-27T07:53:37.206,2023-02-27T07:57:15.906,2023-02-27T07:53:37.206,41,medium
189,Clerk-000005,Clerk,Check credit history,2023-02-27T07:57:15.906,2023-02-27T08:02:09.239,2023-02-27T07:57:15.906,25,medium
188,Appraiser-000001,Appraiser,Appraise property,2023-02-24T14:39:48.007,2023-02-27T08:04:34.761,2023-02-24T14:39:48.007,54,high
190,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-27T07:50:54.727,2023-02-27T08:10:54.727,2023-02-27T07:50:54.727,54,low
189,Appraiser-000002,Appraiser,Appraise property,2023-02-27T07:57:15.906,2023-02-27T08:11:26.909,2023-02-27T07:57:15.906,58,medium
185,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-27T07:55:04.682,2023-02-27T08:15:04.682,2023-02-27T07:55:04.682,53,high
191,Clerk-000007,Clerk,Check application form completeness,2023-02-27T07:30:00.000,2023-02-27T08:19:35.692,2023-02-27T07:30:00.000,21,high
188,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-27T08:04:34.761,2023-02-27T08:24:34.761,2023-02-27T08:04:34.761,57,high
188,Loan Officer-000003,Loan Officer,Design loan offer,2023-02-27T08:24:34.761,2023-02-27T08:26:46.635,2023-02-27T08:24:34.761,58,high
191,AML Investigator-000002,AML Investigator,AML check,2023-02-27T08:19:35.692,2023-02-27T08:37:36.412,2023-02-27T08:19:35.692,42,high
192,Clerk-000004,Clerk,Check application form completeness,2023-02-27T08:00:00.000,2023-02-27T08:46:11.447,2023-02-27T08:00:00.000,65,high
187,Clerk-000006,Clerk,Cancel application,2023-02-27T08:41:23.435,2023-02-27T08:46:23.435,2023-02-27T08:41:23.435,63,low
188,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-27T08:26:46.635,2023-02-27T08:46:46.635,2023-02-27T08:26:46.635,42,high
193,Clerk-000008,Clerk,Check application form completeness,2023-02-27T08:30:00.000,2023-02-27T08:51:59.516,2023-02-27T08:30:00.000,63,medium
191,Appraiser-000001,Appraiser,Appraise property,2023-02-27T08:19:35.692,2023-02-27T08:52:38.978,2023-02-27T08:19:35.692,47,high
191,Clerk-000003,Clerk,Check credit history,2023-02-27T08:19:35.692,2023-02-27T08:56:03.345,2023-02-27T08:19:35.692,36,high
193,Clerk-000001,Clerk,Check credit history,2023-02-27T08:51:59.516,2023-02-27T08:59:46.015,2023-02-27T08:51:59.516,45,medium
192,Appraiser-000002,Appraiser,Appraise property,2023-02-27T08:46:11.447,2023-02-27T09:06:04.655,2023-02-27T08:46:11.447,48,high
192,AML Investigator-000002,AML Investigator,AML check,2023-02-27T08:46:11.447,2023-02-27T09:14:21.450,2023-02-27T08:46:11.447,54,high
191,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-27T08:56:03.345,2023-02-27T09:16:03.345,2023-02-27T08:56:03.345,38,high
193,Appraiser-000001,Appraiser,Appraise property,2023-02-27T08:52:38.978,2023-02-27T09:18:12.206,2023-02-27T08:51:59.516,18,medium
185,Clerk-000004,Clerk,Cancel application,2023-02-27T09:15:04.682,2023-02-27T09:20:04.682,2023-02-27T09:15:04.682,32,high
190,Clerk-000007,Clerk,Reject application,2023-02-27T09:10:54.727,2023-02-27T09:20:54.727,2023-02-27T09:10:54.727,48,low
192,Clerk-000002,Clerk,Check credit history,2023-02-27T08:46:11.447,2023-02-27T09:22:23.209,2023-02-27T08:46:11.447,56,high
189,AML Investigator-000001,AML Investigator,AML check,2023-02-27T07:57:15.906,2023-02-27T09:33:04.382,2023-02-27T07:57:15.906,19,medium
193,AML Investigator-000002,AML Investigator,AML check,2023-02-27T09:14:21.450,2023-02-27T09:33:18.404,2023-02-27T08:51:59.516,45,medium
195,Clerk-000006,Clerk,Check application form completeness,2023-02-27T09:30:00.000,2023-02-27T09:36:39.339,2023-02-27T09:30:00.000,58,low
191,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-27T09:16:03.345,2023-02-27T09:38:44.083,2023-02-27T09:16:03.345,37,high
192,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-27T09:22:23.209,2023-02-27T09:42:23.209,2023-02-27T09:22:23.209,21,high
195,AML Investigator-000001,AML Investigator,AML check,2023-02-27T09:36:39.339,2023-02-27T09:46:18.962,2023-02-27T09:36:39.339,59,low
192,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-27T09:42:23.209,2023-02-27T09:48:23.088,2023-02-27T09:42:23.209,54,high
194,Clerk-000005,Clerk,Check application form completeness,2023-02-27T09:00:00.000,2023-02-27T09:50:17.846,2023-02-27T09:00:00.000,58,medium
194,Clerk-000001,Clerk,Check credit history,2023-02-27T09:50:17.846,2023-02-27T09:51:25.066,2023-02-27T09:50:17.846,63,medium
188,Clerk-000003,Clerk,Cancel application,2023-02-27T09:46:46.635,2023-02-27T09:51:46.635,2023-02-27T09:46:46.635,53,high
189,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-27T09:33:04.382,2023-02-27T09:53:04.382,2023-02-27T09:33:04.382,60,medium
193,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-27T09:33:18.404,2023-02-27T09:53:18.404,2023-02-27T09:33:18.404,55,medium
191,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-27T09:38:44.083,2023-02-27T09:58:44.083,2023-02-27T09:38:44.083,24,high
192,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-27T09:48:23.088,2023-02-27T10:08:23.088,2023-02-27T09:48:23.088,42,high
189,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-27T09:53:04.382,2023-02-27T10:09:23.944,2023-02-27T09:53:04.382,27,medium
196,Clerk-000004,Clerk,Check application form completeness,2023-02-27T10:00:00.000,2023-02-27T10:13:46.218,2023-02-27T10:00:00.000,64,high
194,AML Investigator-000002,AML Investigator,AML check,2023-02-27T09:50:17.846,2023-02-27T10:14:07.372,2023-02-27T09:50:17.846,23,medium
193,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-27T09:53:18.404,2023-02-27T10:27:55.204,2023-02-27T09:53:18.404,44,medium
195,Clerk-000008,Clerk,Check credit history,2023-02-27T09:36:39.339,2023-02-27T10:29:05.709,2023-02-27T09:36:39.339,34,low
189,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-27T10:09:23.944,2023-02-27T10:29:23.944,2023-02-27T10:09:23.944,54,medium
196,AML Investigator-000001,AML Investigator,AML check,2023-02-27T10:13:46.218,2023-02-27T10:37:55.237,2023-02-27T10:13:46.218,64,high
197,Clerk-000002,Clerk,Check application form completeness,2023-02-27T10:30:00.000,2023-02-27T10:42:32.451,2023-02-27T10:30:00.000,20,medium
197,AML Investigator-000002,AML Investigator,AML check,2023-02-27T10:42:32.451,2023-02-27T10:46:35.253,2023-02-27T10:42:32.451,28,medium
193,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-27T10:27:55.204,2023-02-27T10:47:55.204,2023-02-27T10:27:55.204,33,medium
196,Clerk-000007,Clerk,Check credit history,2023-02-27T10:13:46.218,2023-02-27T10:49:04.744,2023-02-27T10:13:46.218,52,high
191,Clerk-000005,Clerk,Approve application,2023-02-27T10:58:44.083,2023-02-27T11:03:44.083,2023-02-27T10:58:44.083,60,high
195,Appraiser-000002,Appraiser,Appraise property,2023-02-27T09:36:39.339,2023-02-27T11:09:40.791,2023-02-27T09:36:39.339,29,low
192,Clerk-000003,Clerk,Cancel application,2023-02-27T11:08:23.088,2023-02-27T11:13:23.088,2023-02-27T11:08:23.088,20,high
196,Appraiser-000002,Appraiser,Appraise property,2023-02-27T11:09:40.791,2023-02-27T11:15:45.155,2023-02-27T10:13:46.218,29,high
197,Clerk-000006,Clerk,Check credit history,2023-02-27T10:42:32.451,2023-02-27T11:28:12.231,2023-02-27T10:42:32.451,57,medium
195,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-27T11:09:40.791,2023-02-27T11:29:40.791,2023-02-27T11:09:40.791,31,low
198,Clerk-000001,Clerk,Check application form completeness,2023-02-27T11:00:00.000,2023-02-27T11:31:21.542,2023-02-27T11:00:00.000,21,medium
189,Clerk-000004,Clerk,Cancel application,2023-02-27T11:29:23.944,2023-02-27T11:34:23.944,2023-02-27T11:29:23.944,31,medium
196,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-27T11:15:45.155,2023-02-27T11:35:45.155,2023-02-27T11:15:45.155,38,high
196,Loan Officer-000002,Loan Officer,Design loan offer,2023-02-27T11:35:45.155,2023-02-27T11:35:57.532,2023-02-27T11:35:45.155,43,high
198,Clerk-000002,Clerk,Return application back to applicant,2023-02-27T11:31:21.542,2023-02-27T11:36:21.542,2023-02-27T11:31:21.542,56,medium
194,Appraiser-000001,Appraiser,Appraise property,2023-02-27T09:50:17.846,2023-02-27T11:52:19.192,2023-02-27T09:50:17.846,50,medium
193,Clerk-000007,Clerk,Approve application,2023-02-27T11:47:55.204,2023-02-27T11:52:55.204,2023-02-27T11:47:55.204,22,medium
196,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-27T11:35:57.532,2023-02-27T11:55:57.532,2023-02-27T11:35:57.532,29,high
200,Clerk-000005,Clerk,Check application form completeness,2023-02-27T12:00:00.000,2023-02-27T12:03:08.524,2023-02-27T12:00:00.000,48,medium
200,Clerk-000003,Clerk,Check credit history,2023-02-27T12:03:08.524,2023-02-27T12:11:25.016,2023-02-27T12:03:08.524,47,medium
200,AML Investigator-000001,AML Investigator,AML check,2023-02-27T12:03:08.524,2023-02-27T12:12:11.478,2023-02-27T12:03:08.524,23,medium
194,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-27T11:52:19.192,2023-02-27T12:12:19.192,2023-02-27T11:52:19.192,51,medium
194,Loan Officer-000003,Loan Officer,Design loan offer,2023-02-27T12:12:19.192,2023-02-27T12:12:49.624,2023-02-27T12:12:19.192,60,medium
194,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-27T12:12:49.624,2023-02-27T12:32:49.624,2023-02-27T12:12:49.624,18,medium
198,Applicant-000001,Applicant,Applicant completes form,2023-02-27T11:36:21.542,2023-02-27T12:36:21.542,2023-02-27T11:36:21.542,63,medium
199,Clerk-000008,Clerk,Check application form completeness,2023-02-27T11:30:00.000,2023-02-27T12:37:35.684,2023-02-27T11:30:00.000,54,low
201,Clerk-000001,Clerk,Check application form completeness,2023-02-27T12:30:00.000,2023-02-27T12:38:45.406,2023-02-27T12:30:00.000,20,medium
201,AML Investigator-000001,AML Investigator,AML check,2023-02-27T12:38:45.406,2023-02-27T12:39:04.419,2023-02-27T12:38:45.406,34,medium
195,Clerk-000006,Clerk,Reject application,2023-02-27T12:29:40.791,2023-02-27T12:39:40.791,2023-02-27T12:29:40.791,24,low
199,AML Investigator-000002,AML Investigator,AML check,2023-02-27T12:37:35.684,2023-02-27T12:49:12.773,2023-02-27T12:37:35.684,38,low
197,Appraiser-000002,Appraiser,Appraise property,2023-02-27T11:15:45.155,2023-02-27T12:54:45.223,2023-02-27T10:42:32.451,28,medium
201,Clerk-000007,Clerk,Check credit history,2023-02-27T12:38:45.406,2023-02-27T12:55:59.351,2023-02-27T12:38:45.406,35,medium
198,Clerk-000004,Clerk,Check application form completeness,2023-02-27T12:36:21.542,2023-02-27T12:59:42.429,2023-02-27T12:36:21.542,21,medium
196,Clerk-000005,Clerk,Cancel application,2023-02-27T12:55:57.532,2023-02-27T13:00:57.532,2023-02-27T12:55:57.532,65,high
200,Appraiser-000001,Appraiser,Appraise property,2023-02-27T12:03:08.524,2023-02-27T13:08:16.830,2023-02-27T12:03:08.524,21,medium
197,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-27T12:54:45.223,2023-02-27T13:14:45.223,2023-02-27T12:54:45.223,58,medium
197,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-27T13:14:45.223,2023-02-27T13:14:55.937,2023-02-27T13:14:45.223,57,medium
199,Appraiser-000002,Appraiser,Appraise property,2023-02-27T12:54:45.223,2023-02-27T13:24:39.342,2023-02-27T12:37:35.684,29,low
202,Clerk-000008,Clerk,Check application form completeness,2023-02-27T13:00:00.000,2023-02-27T13:25:05.437,2023-02-27T13:00:00.000,30,high
200,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-27T13:08:16.830,2023-02-27T13:28:16.830,2023-02-27T13:08:16.830,56,medium
200,Loan Officer-000003,Loan Officer,Design loan offer,2023-02-27T13:28:16.830,2023-02-27T13:28:48.237,2023-02-27T13:28:16.830,58,medium
202,Clerk-000001,Clerk,Return application back to applicant,2023-02-27T13:25:05.437,2023-02-27T13:30:05.437,2023-02-27T13:25:05.437,22,high
198,AML Investigator-000001,AML Investigator,AML check,2023-02-27T12:59:42.429,2023-02-27T13:30:18.978,2023-02-27T12:59:42.429,21,medium
